account,ticker,quantity,cost_basis,market_value,security_name,source_file,imported_at
Individual ...082,CASH0,3.88,0.00,3.88,Cash & Cash Investments,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,ECO,11,622.71,557.35,OKEANIS ECO TANKERS CO F,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,IBIT,25,1100.50,894.80,ISHARES BITCOIN TRUST ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,MSTR,1,171.02,112.33,STRATEGY INC CLASS A,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,SMCI,92,3586.44,2797.26,SUPER MICRO COMPUTER INC,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,UNH,16,4573.17,6461.73,UNITEDHEALTH GROUP INC,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Individual ...082,VNOM,21,994.88,902.58,VIPER ENERGY INC NEW CLASS CLASS A,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,CASH0,2.43,0.00,2.43,Cash & Cash Investments,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,IBIT,12,456.00,429.51,ISHARES BITCOIN TRUST ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,QMOM,6,421.08,470.97,ALPHA ARCHITECT U.S. QUANTITATIVE MOMENTUM ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,SCHA,17,500.23,595.51,SCHWAB U.S. SMALL-CAP ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,SCHF,14,346.71,395.64,SCHWAB INTERNATIONAL EQUITY ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,SCHG,18,531.99,606.69,SCHWAB U.S. LARGE-CAP GROWTH ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,SMCI,29,900.33,881.75,SUPER MICRO COMPUTER INC,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
Roth_Contributory_IRA ...399,SPYM,5.0258,404.30,440.91,STATE STREET SPDR PORTFOLIO S&P 500 ETF,All-Accounts-Positions-2026-06-18-113230.csv,2026-06-18T10:38:30
