ticker,name,category,expense_ratio
JXN,Jackson Financial Inc,US Small Value,0.0
CRLBF,Cresco Labs Inc,US Small Growth,0.0
SXPAX,DWS S&P 500 Index A,US Large Blend,0.0054
MDCPX,BlackRock Balanced Capital Inv A,** 55 US Large Blend / 25 Int-Term Inv. Grade / 20 Cash **,0.0082
LI,Li Auto Inc ADR,Emerging Large Blend,0.0045
BACpM,Bank of America 5.375 Pref,Preferred Stock,0.013
FEEU,Barclays ETN + FI Enhanced Europe 50 ETN,Intl Large Blend,0.0076
CCIV,Churchill Capital IV Corp,Non-Traditional,0.0067
NTRA,Natera Inc,US Mid Growth,0.0
PTRAX,PIMCO Total Return Admin,Non-Traditional,0.0095
PAALX,PIMCO All Asset Admin,Non-Traditional,0.01115
WOBDX,JPMorgan Core Bond I,Int-Term Inv. Grade,0.005
BFMCX,BlackRock Core Bond Instl,Int-Term Inv. Grade,0.0045
BITSX,iShares Total US Stock Market Idx Instl,US Large Blend,0.0008
MISGX,Meridian Small Cap Growth Investor,US Small Growth,0.013
DHLRX,Diamond Hill Large Cap I,US Large Blend,0.0067
ABYIX,Abbey Capital Futures Strategy I,Managed Futures,0.0179
LFMIX,LoCorr Macro Strategies I,Non-Traditional,0.0193
FEM,First Trust Emerging Markets AlphaDEX® ETF,Emerging Large Value,0.008
ASFYX,AlphaSimplex Mgd Futs Strat Y,Managed Futures,0.0146
FASGX,Fidelity Asset Manager® 70%,** 45 US Large Blend / 25 Intl Large Blend / 30 Int-Term Inv. Grade **,0.0067
USERX,US Global Investors Gld & Prec Mtls,Commodities,0.016
IAUTX,Invesco Dividend Income A,** 85 US Large Value / 15 Intl Large Value **,0.0096
USAUX,USAA Aggressive Growth,US Large Growth,0.0072
TNUAX,1290 Diversified Bond A,Int-Term Inv. Grade,0.0075
CLVT,Clarivate PLC Ordinary Shares,Intl Mid Growth,0.0
LSIOX,LOOMIS SAYLES HIGH INCOM E OPPS INSTL,High Yield,0.0098
LSSAX,LOOMIS SAYLES SECURITIZE D ASSET,Int-Term Inv. Grade,1e-05
FEMKX,"Fidelity® Emerging Markets(USD,FEMKX)",Emerging Large Growth,0.0097
FIFGX,Fidelity® SAI Inflation-Focused,Commodities,0.004
FEP,First Trust Europe AlphaDEX® ETF,Intl Mid Growth,0.008
FSLTX,Strategic Advisers Alternatives,Non-Traditional,0.0148
FERGX,Fidelity SAI Emerging Markets Index Fund,Emerging Large Blend,0.0008
FCBYX,Nuveen Strategic Income I,High Yield,0.0059
FERGY,Ferguson PLC ADR,US Mid Value,0.0
FJSYX,Nuveen Credit Income I,High Yield,0.0076
RDS/A/38,SHELL INTERNTN6.375% 38F DUE 12/15/38,Long-Term Inv. Grade,0.0
FEU,SPDR STOXX Europe 50 ETF,Intl Large Value,0.0029
FSHYX,Nuveen Short Term Municipal Bond I,Short-Term Inv. Grade,0.0047
ADI,Analog Devices Inc,US Large Growth,0.0
FEUGX,"Federated Adjustable Rate Secs Instl(USD,FEUGX)",Short-Term Inv. Grade,0.0065
LSGNX,Loomis Sayles Global Bond N,Int-Term Inv. Grade,0.0064
gwph,"GW Pharmaceuticals PLC ADR(USD,GWPH)",Intl Mid Growth,0.0
FEZ,SPDR Euro STOXX 50 ETF,Intl Large Value,0.0
TCYIX,TIAA-CREF Lifecycle 2025 Institutional,** 35 US Large Blend / 20 Intl Large Blend / 45 Int-Term Inv. Grade **,0.0041
ALP.PRQ,ALABAMA POWER CO 5% PFD PFD,Preferred Stock,0.0
AFGC,AMERICAN FINL 5.125%PFD DUE 12/15/59 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
AIG.PRA,AMERICAN INTE 5.85% PFD PFD SER A,Preferred Stock,0.0
ACGLN,ARCH CAPITAL 4.55% PFD PFD SER G,Preferred Stock,0.0
ASB.PRD,ASSOCIATED B 5.375% PFD PFD SER D,Preferred Stock,0.0
ASB.PRF,ASSOCIATED B 5.625% PFD PFD SER F,Preferred Stock,0.0
ITHUF,iAnthus Capital Holdings Inc,US Micro,0.0
ASB.PRE,ASSOCIATED B 5.875% PFD PFD SER E,Preferred Stock,0.0
FF,"FutureFuel Corp(USD,FF)",US Small Blend,0.0
T.PRC,AT&T INC. 4.75% PFD PFD SER C,Preferred Stock,0.0
T.PRA,AT&T INC. 5% PFD PFD SER A,Preferred Stock,0.0
BAC.PRP,BANK OF AMER 4.125% PFD PFD SER PP,Preferred Stock,0.0
BAC.PRO,BANK OF AMER 4.375% PFD PFD SER NN,Preferred Stock,0.0
BAC.PRM,BANK OF AMER 5.375% PFD PFD SER KK,Preferred Stock,0.0
BAC.PRK,BANK OF AMER 5.875% PFD PFD SER HH,Preferred Stock,0.0
BAC.PRN,BANK OF AMERICA 5% PFD PFD SER LL,Preferred Stock,0.0
COF.PRJ,CAPITAL ONE FI 4.8% PFD PFD SER J,Preferred Stock,0.0
UTAYX,Aquila Tax-Free Fund For Utah Y,Int-Term Inv. Grade,0.0063
COF.PRG,CAPITAL ONE FI 5.2% PFD PFD SER G,Preferred Stock,0.0
COF.PRI,CAPITAL ONE FINL 5% PFD PFD SER I,Preferred Stock,0.0
FFEGX,"Fidelity Freedom® Index 2030 Instl Prem(USD,FFEGX)",** .5 US Large Blend .25 Intl Large Blend .25 Int-Term Inv. Grade**,0.0007
SCHW.PRJ,CHARLES SCHWA 4.45% PFD PFD SER J,Preferred Stock,0.0
C.PRK,CITIGROUP IN 6.875% PFD PFD,Preferred Stock,0.0
C.PRJ,CITIGROUP IN 7.125% PFD PFD,Preferred Stock,0.0
CFG.PRD,CITIZENS FINL 6.35% PFD PFD SER D,Preferred Stock,0.0
CFG.PRE,CITIZENS FINL GR 5% PFD PFD,Preferred Stock,0.0
CMS.PRC,CMS ENERGY COR 4.2% PFD PFD SER C,Preferred Stock,0.0
CMSA,CMS ENERGY COR 5.625%PFD DUE 03/15/78 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
MXFIX,MainStay Floating Rate I,High Yield,0.0079
CFR.PRB,CULLEN/FROST 4.45% PFD PFD SER B,Preferred Stock,0.0
DLR.PRL,DIGITAL REALTY 5.2% PFD PFD SER L,Preferred Stock,0.0
DRUA,DOMINION ENERGY 5.25%PFD DUE 07/30/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
FFFDX,Fidelity Freedom 2020,** .10 Cash/Money Market / .35 US Large Growth / .25 Intl Large Growth / .30 Int-Term Inv. Grade **,0.0062
DTW,DTE ENERGY CO 5.25%PFD DUE 12/01/77 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
DTY,DTE ENERGY CO 6%PFD DUE 12/15/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
DUK.PRA,DUKE ENERGY C 5.75% PFD PFD,Preferred Stock,0.0
EAI,ENTERGY ARKANS 4.875%PFD DUE 09/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
ELC,ENTERGY LOUISI 4.875%PFD DUE 09/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
EMP,ENTERGY MISSISSI 4.9%PFD DUE 10/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
TRIGX,T. Rowe Price International Value Eq,Intl Large Value,0.0079
EQH.PRA,EQUITABLE HLD 5.25% PFD PFD SER A,Preferred Stock,0.0
EQH.PRC,EQUITABLE HLDG 4.3% PFD PFD SER C,Preferred Stock,0.0
FITBO,FIFTH THIRD B 4.95% PFD PFD SER K,Preferred Stock,0.0
FHN.PRF,FIRST HORIZON 4.7% PFD PFD SER F,Preferred Stock,0.0
